k,combinado,comb_ci,so_preco,so_calend(persist),persistencia,combinado_surpresa,n_evento
120,0.5716,"(0.537621359223301, 0.60561286407767)",0.5747,0.5024,0.5064,0.5699,824
240,0.6177,"(0.5812803398058253, 0.6516990291262136)",0.6416,0.5109,0.5047,0.5847,824
