,lon_Q1,lon_Q2,lon_Q3,lon_Q4
asia_Q1,0.6305543800253914,0.19805332204824375,0.10805473268444069,0.0633375652419241
asia_Q2,0.47195048911958476,0.25593930924336195,0.16530245557995607,0.10680774605709722
asia_Q3,0.333633701284073,0.25411128632574903,0.234061725613877,0.17819328677630097
asia_Q4,0.17132465543644718,0.19448698315467075,0.25382848392036755,0.3803598774885146
