ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2026.06.30 02:00,-0.10670527,0.43185857,0.68191243,-0.33689887,0.26955805,-0.50077980,-0.39031970,-0.04862542
2026.06.30 03:00,-0.01235583,0.43761627,0.66252891,-0.38572476,0.30469811,-0.45746619,-0.45427337,-0.09502315
2026.06.30 04:00,0.09581228,0.33389698,0.62049916,-0.33575902,0.23770224,-0.44016206,-0.46203628,-0.04995330
2026.06.30 05:00,0.16421684,0.26957383,0.59310135,-0.26902223,0.21017694,-0.41431517,-0.50026093,-0.05347063
2026.06.30 06:00,0.22086502,0.17855007,0.53390814,-0.24158373,0.15581319,-0.37597992,-0.48559605,0.01402327
2026.06.30 07:00,0.26718408,0.08317774,0.47871642,-0.21986704,0.08031704,-0.32979107,-0.44604748,0.08631030
2026.06.30 08:00,0.33541220,-0.00372097,0.40622419,-0.23303904,0.02328690,-0.24847039,-0.41608492,0.13639202
2026.06.30 09:00,0.28547243,-0.01515109,0.32529156,-0.24638359,0.04914012,-0.25805598,-0.36361955,0.22330611
2026.06.30 10:00,0.33324045,-0.06603284,0.22017863,-0.25316020,-0.03596353,-0.18196662,-0.29302574,0.27672984
2026.06.30 11:00,0.36506372,-0.15783489,0.11728268,-0.27127501,-0.05322831,-0.14969874,-0.15474280,0.30443337
2026.06.30 12:00,0.35266356,-0.19800328,0.07640141,-0.26554449,-0.11913574,-0.19246400,-0.04284927,0.38893181
2026.06.30 13:00,0.32226697,-0.26745770,-0.03104165,-0.31529589,-0.10759959,-0.19260555,0.08404717,0.50768622
2026.06.30 14:00,0.36336024,-0.32592006,-0.09893744,-0.32684180,-0.14677972,-0.17729697,0.17169151,0.54072424
2026.06.30 15:00,0.36383757,-0.27493532,-0.24526651,-0.32723841,-0.13422677,-0.09804582,0.16264843,0.55322684
2026.06.30 16:00,0.32911130,-0.30971838,-0.25767883,-0.38664371,-0.13949789,-0.08551376,0.26002030,0.58992097
2026.06.30 17:00,0.06047162,-0.21359403,-0.15223717,-0.70874869,-0.13665092,-0.05947048,0.47336064,0.73686902
2026.06.30 18:00,0.07293518,-0.19284482,-0.12715827,-0.74438797,-0.20816174,-0.03168676,0.53875559,0.69254880
2026.06.30 19:00,0.03230144,-0.16052613,-0.13848546,-0.79745931,-0.25269401,0.00011098,0.60917301,0.70757949
2026.06.30 20:00,-0.06660695,-0.12085080,-0.14748880,-0.84856961,-0.23868553,0.00239733,0.70097518,0.71882918
2026.06.30 21:00,-0.12504474,-0.10575075,-0.14697730,-0.87203809,-0.24660439,-0.00738173,0.76475016,0.73904683
2026.06.30 22:00,-0.22753745,-0.07031451,-0.11353824,-0.90151970,-0.27072846,0.08864978,0.80665557,0.68833301
2026.06.30 23:00,-0.26475130,-0.05786236,-0.07208987,-0.89202032,-0.25571427,0.07533379,0.82204983,0.64505450
2026.07.01 00:00,-0.31372565,-0.03918811,-0.07125571,-0.89409336,-0.19620362,0.09464555,0.81035284,0.60946805
2026.07.01 01:00,-0.32880874,0.02780006,-0.04530967,-0.91586834,-0.22798377,0.13121804,0.80161629,0.55733613
2026.07.01 02:00,-0.28051129,0.04105519,-0.04378145,-0.89972035,-0.21016214,0.11470784,0.74701303,0.53139916
2026.07.01 03:00,-0.22521191,0.08465998,-0.01103212,-0.88623426,-0.16680377,0.13581736,0.61048420,0.45832053
2026.07.01 04:00,-0.13464256,0.09487214,-0.01623336,-0.76441276,-0.13548138,0.14232224,0.43701149,0.37656419
