ts,USD,EUR,GBP,JPY,CHF,CAD,AUD,NZD
2025.12.03 00:00,-0.18404539,0.08787665,0.27631625,-0.50668275,-0.13421055,0.01006616,0.07537791,0.37530172
2025.12.04 00:00,-0.17878958,0.04262605,0.24994505,-0.42891466,-0.24307193,0.00684483,0.14747112,0.40388912
2025.12.05 00:00,-0.22228046,-0.03026246,0.21486836,-0.43618196,-0.37952043,0.15060859,0.23175191,0.47101645
2025.12.08 00:00,-0.22469662,-0.02601704,0.23425456,-0.39955365,-0.46926374,0.12929586,0.23981708,0.51616355
2025.12.09 00:00,-0.23969420,-0.05218774,0.22455184,-0.43330185,-0.52272926,0.17833402,0.31144501,0.53358219
2025.12.10 00:00,-0.34176780,-0.07061415,0.25037261,-0.42043357,-0.53383870,0.18961053,0.36967878,0.55699231
2025.12.11 00:00,-0.40396477,-0.04665205,0.21416998,-0.38250432,-0.47802312,0.21680423,0.36369346,0.51647660
2025.12.12 00:00,-0.44326325,-0.03124282,0.17390213,-0.39349651,-0.44168930,0.24943187,0.37463672,0.51172116
2025.12.15 00:00,-0.48958238,0.00243139,0.16198827,-0.32770611,-0.37588936,0.24605732,0.35721824,0.42548262
2025.12.16 00:00,-0.54841032,-0.01842017,0.18422227,-0.26251070,-0.29458436,0.24370249,0.31257953,0.38342126
2025.12.17 00:00,-0.53717632,0.02116640,0.15008315,-0.28723941,-0.18546072,0.23334696,0.23692487,0.36835507
2025.12.18 00:00,-0.54408662,-0.01741270,0.12067901,-0.26338328,-0.08976662,0.25918999,0.21215879,0.32262144
2025.12.19 00:00,-0.47784666,0.02430942,0.13344599,-0.43526667,-0.01053437,0.30292342,0.22427961,0.23868927
2025.12.22 00:00,-0.49162909,0.04971529,0.15660160,-0.48963930,0.07537651,0.30442066,0.22158681,0.17356752
2025.12.23 00:00,-0.52193376,0.01963752,0.15281166,-0.48038642,0.13687988,0.30330202,0.22036677,0.16932233
2025.12.24 00:00,-0.49220218,-0.00439140,0.13863360,-0.44888755,0.18058769,0.31800601,0.21749751,0.09075631
2025.12.26 00:00,-0.44403015,0.00778583,0.15721075,-0.47901717,0.20839148,0.31705513,0.21470254,0.01790159
