,modelo,so_base_atr
top1_modelo,77.66980645161281,77.4763870967741
top3_modelo,71.2104516129032,71.15827956989246
sempre_mais_volatil,77.4763870967741,77.4763870967741
aleatorio,42.98055299539172,42.98055299539172
teto_do_dia,97.69496774193551,97.69496774193551
n_dias,775.0,775.0
